,wave,gender,age,age_o,d_age,samerace,importance_same_race,importance_same_religion,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_o,sinsere_o,intelligence_o,funny_o,ambitous_o,attractive_important,sincere_important,intellicence_important,funny_important,ambtition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,interests_correlate,expected_happy_with_sd_people,like,guess_prob_liked,met,decision,decision_o,match
3965,11.0,0,23.0,34.0,11.0,0,2.0,4.0,30.0,10.0,30.0,10.0,5.0,15.0,4.0,6.0,8.0,5.0,5.0,16.0,16.0,19.0,17.0,14.0,18.0,5.0,4.0,7.0,8.0,6.0,5.0,6.0,7.0,4.0,6.0,8.0,4.0,6.0,9.0,8.0,7.0,8.0,4.0,6.0,9.0,2.0,7.0,5.0,6.0,7.0,6.0,4.0,0.6,5.0,6.0,5.0,0.0,1,0,0
3966,11.0,0,23.0,27.0,4.0,1,2.0,4.0,20.0,20.0,15.0,15.0,12.0,18.0,6.0,8.0,8.0,7.0,6.0,16.0,16.0,19.0,17.0,14.0,18.0,5.0,4.0,7.0,8.0,6.0,4.0,5.0,8.0,5.0,7.0,8.0,4.0,6.0,9.0,8.0,7.0,8.0,4.0,6.0,9.0,2.0,7.0,5.0,6.0,7.0,6.0,4.0,0.38,5.0,5.0,5.0,0.0,0,1,0
3967,11.0,0,23.0,28.0,5.0,0,2.0,4.0,20.0,18.0,20.0,17.0,10.0,15.0,7.0,10.0,8.0,4.0,5.0,16.0,16.0,19.0,17.0,14.0,18.0,5.0,4.0,7.0,8.0,6.0,7.0,7.0,7.0,6.0,6.0,8.0,4.0,6.0,9.0,8.0,7.0,8.0,4.0,6.0,9.0,2.0,7.0,5.0,6.0,7.0,6.0,4.0,0.41,5.0,6.0,5.0,0.0,1,0,0
3968,11.0,0,23.0,28.0,5.0,0,2.0,4.0,23.0,18.0,21.0,18.0,10.0,10.0,6.0,7.0,6.0,5.0,5.0,16.0,16.0,19.0,17.0,14.0,18.0,5.0,4.0,7.0,8.0,6.0,6.0,5.0,5.0,5.0,6.0,8.0,4.0,6.0,9.0,8.0,7.0,8.0,4.0,6.0,9.0,2.0,7.0,5.0,6.0,7.0,6.0,4.0,0.31,5.0,6.0,5.0,0.0,1,0,0
3969,11.0,0,23.0,29.0,6.0,1,10.0,9.0,30.0,25.0,18.0,18.0,4.0,5.0,7.0,6.0,5.0,6.0,4.0,10.0,15.0,40.0,15.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,6.0,6.0,7.0,5.0,5.0,8.0,7.0,10.0,9.0,10.0,10.0,5.0,5.0,6.0,7.0,7.0,9.0,9.0,9.0,8.0,9.0,5.0,0.37,8.0,6.0,5.0,0.0,0,0,0
3970,11.0,0,23.0,24.0,1.0,0,10.0,9.0,30.0,10.0,20.0,20.0,10.0,10.0,6.0,0.0,4.0,6.0,5.0,10.0,15.0,40.0,15.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,5.0,4.0,4.0,5.0,5.0,8.0,7.0,10.0,9.0,10.0,10.0,5.0,5.0,6.0,7.0,7.0,9.0,9.0,9.0,8.0,9.0,5.0,0.29,8.0,6.0,5.0,0.0,0,0,0
3971,11.0,0,23.0,21.0,2.0,1,10.0,9.0,25.0,10.0,25.0,5.0,10.0,25.0,7.0,5.0,6.0,6.0,6.0,10.0,15.0,40.0,15.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,6.0,4.0,5.0,5.0,4.0,8.0,7.0,10.0,9.0,10.0,10.0,5.0,5.0,6.0,7.0,7.0,9.0,9.0,9.0,8.0,9.0,5.0,0.43,8.0,5.0,5.0,0.0,0,1,0
3972,11.0,0,23.0,26.0,3.0,1,10.0,9.0,24.0,16.0,28.0,14.0,8.0,10.0,7.0,4.0,4.0,9.0,8.0,10.0,15.0,40.0,15.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,4.0,4.0,7.0,4.0,4.0,8.0,7.0,10.0,9.0,10.0,10.0,5.0,5.0,6.0,7.0,7.0,9.0,9.0,9.0,8.0,9.0,5.0,0.55,8.0,4.0,4.0,0.0,0,1,0
3974,11.0,0,23.0,32.0,9.0,1,10.0,9.0,25.0,15.0,20.0,25.0,10.0,5.0,5.0,5.0,7.0,5.0,8.0,10.0,15.0,40.0,15.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,4.0,4.0,6.0,4.0,4.0,8.0,7.0,10.0,9.0,10.0,10.0,5.0,5.0,6.0,7.0,7.0,9.0,9.0,9.0,8.0,9.0,5.0,0.2,8.0,4.0,4.0,0.0,0,0,0
3975,11.0,0,23.0,25.0,2.0,1,10.0,9.0,27.0,15.0,28.0,10.0,10.0,10.0,9.0,7.0,6.0,4.0,6.0,10.0,15.0,40.0,15.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,7.0,6.0,7.0,6.0,6.0,8.0,7.0,10.0,9.0,10.0,10.0,5.0,5.0,6.0,7.0,7.0,9.0,9.0,9.0,8.0,9.0,5.0,-0.12,8.0,6.0,6.0,0.0,1,0,0
3976,11.0,0,23.0,25.0,2.0,1,10.0,9.0,25.0,20.0,30.0,15.0,5.0,5.0,6.0,6.0,6.0,5.0,4.0,10.0,15.0,40.0,15.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,5.0,4.0,8.0,4.0,4.0,8.0,7.0,10.0,9.0,10.0,10.0,5.0,5.0,6.0,7.0,7.0,9.0,9.0,9.0,8.0,9.0,5.0,0.27,8.0,5.0,5.0,0.0,0,1,0
3977,11.0,0,23.0,27.0,4.0,1,10.0,9.0,20.0,20.0,20.0,15.0,5.0,20.0,5.0,6.0,7.0,4.0,6.0,10.0,15.0,40.0,15.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,4.0,5.0,6.0,3.0,4.0,8.0,7.0,10.0,9.0,10.0,10.0,5.0,5.0,6.0,7.0,7.0,9.0,9.0,9.0,8.0,9.0,5.0,0.23,8.0,5.0,4.0,0.0,0,0,0
3978,11.0,0,23.0,23.0,0.0,0,10.0,9.0,25.0,15.0,20.0,20.0,10.0,10.0,8.0,8.0,8.0,8.0,8.0,10.0,15.0,40.0,15.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,7.0,7.0,7.0,7.0,5.0,8.0,7.0,10.0,9.0,10.0,10.0,5.0,5.0,6.0,7.0,7.0,9.0,9.0,9.0,8.0,9.0,5.0,-0.1,8.0,7.0,5.0,0.0,1,1,1
3979,11.0,0,23.0,27.0,4.0,0,10.0,9.0,50.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,15.0,40.0,15.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,4.0,6.0,5.0,4.0,5.0,8.0,7.0,10.0,9.0,10.0,10.0,5.0,5.0,6.0,7.0,7.0,9.0,9.0,9.0,8.0,9.0,5.0,-0.39,8.0,4.0,6.0,0.0,0,1,0
3981,11.0,0,23.0,24.0,1.0,0,10.0,9.0,20.0,20.0,25.0,25.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,10.0,15.0,40.0,15.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,4.0,6.0,6.0,4.0,5.0,8.0,7.0,10.0,9.0,10.0,10.0,5.0,5.0,6.0,7.0,7.0,9.0,9.0,9.0,8.0,9.0,5.0,-0.13,8.0,6.0,6.0,0.0,0,1,0
3983,11.0,0,23.0,22.0,1.0,0,10.0,9.0,35.0,40.0,5.0,5.0,7.0,8.0,9.0,6.0,8.0,9.0,6.0,10.0,15.0,40.0,15.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,4.0,4.0,4.0,4.0,4.0,8.0,7.0,10.0,9.0,10.0,10.0,5.0,5.0,6.0,7.0,7.0,9.0,9.0,9.0,8.0,9.0,5.0,-0.17,8.0,3.0,4.0,0.0,0,1,0
3984,11.0,0,23.0,27.0,4.0,1,10.0,9.0,20.0,20.0,15.0,25.0,10.0,10.0,5.0,7.0,3.0,3.0,3.0,10.0,15.0,40.0,15.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,7.0,6.0,6.0,6.0,5.0,8.0,7.0,10.0,9.0,10.0,10.0,5.0,5.0,6.0,7.0,7.0,9.0,9.0,9.0,8.0,9.0,5.0,0.0,8.0,7.0,6.0,0.0,1,0,0
3985,11.0,0,23.0,28.0,5.0,0,10.0,9.0,20.0,30.0,10.0,20.0,0.0,20.0,5.0,5.0,4.0,3.0,2.0,10.0,15.0,40.0,15.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,4.0,7.0,7.0,7.0,5.0,8.0,7.0,10.0,9.0,10.0,10.0,5.0,5.0,6.0,7.0,7.0,9.0,9.0,9.0,8.0,9.0,5.0,-0.37,8.0,7.0,7.0,0.0,1,0,0
3986,11.0,0,23.0,34.0,11.0,1,10.0,9.0,30.0,10.0,30.0,10.0,5.0,15.0,3.0,5.0,6.0,6.0,5.0,10.0,15.0,40.0,15.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,6.0,7.0,7.0,6.0,6.0,8.0,7.0,10.0,9.0,10.0,10.0,5.0,5.0,6.0,7.0,7.0,9.0,9.0,9.0,8.0,9.0,5.0,0.42,8.0,7.0,6.0,0.0,1,0,0
3987,11.0,0,23.0,27.0,4.0,0,10.0,9.0,20.0,20.0,15.0,15.0,12.0,18.0,5.0,8.0,7.0,6.0,5.0,10.0,15.0,40.0,15.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,4.0,7.0,6.0,6.0,5.0,8.0,7.0,10.0,9.0,10.0,10.0,5.0,5.0,6.0,7.0,7.0,9.0,9.0,9.0,8.0,9.0,5.0,0.33,8.0,6.0,6.0,0.0,0,1,0
3988,11.0,0,23.0,28.0,5.0,0,10.0,9.0,20.0,18.0,20.0,17.0,10.0,15.0,7.0,10.0,7.0,7.0,7.0,10.0,15.0,40.0,15.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,7.0,7.0,7.0,6.0,6.0,8.0,7.0,10.0,9.0,10.0,10.0,5.0,5.0,6.0,7.0,7.0,9.0,9.0,9.0,8.0,9.0,5.0,-0.24,8.0,7.0,6.0,0.0,1,0,0
3989,11.0,0,23.0,28.0,5.0,0,10.0,9.0,23.0,18.0,21.0,18.0,10.0,10.0,8.0,7.0,6.0,8.0,5.0,10.0,15.0,40.0,15.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,6.0,7.0,6.0,7.0,7.0,8.0,7.0,10.0,9.0,10.0,10.0,5.0,5.0,6.0,7.0,7.0,9.0,9.0,9.0,8.0,9.0,5.0,0.29,8.0,6.0,6.0,0.0,1,1,1
3990,11.0,0,25.0,29.0,4.0,1,10.0,10.0,30.0,25.0,18.0,18.0,4.0,5.0,9.0,8.0,7.0,7.0,6.0,25.0,20.0,25.0,25.0,5.0,0.0,9.0,10.0,10.0,9.0,10.0,4.0,4.0,7.0,6.0,7.0,6.0,7.0,10.0,10.0,9.0,8.0,7.0,6.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,0.41,8.0,4.0,5.0,0.0,0,0,0
3991,11.0,0,25.0,24.0,1.0,0,10.0,10.0,30.0,10.0,20.0,20.0,10.0,10.0,8.0,7.0,8.0,7.0,8.0,25.0,20.0,25.0,25.0,5.0,0.0,9.0,10.0,10.0,9.0,10.0,4.0,6.0,7.0,8.0,9.0,6.0,7.0,10.0,10.0,9.0,8.0,7.0,6.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,0.6,8.0,7.0,7.0,0.0,0,1,0
3992,11.0,0,25.0,21.0,4.0,1,10.0,10.0,25.0,10.0,25.0,5.0,10.0,25.0,7.0,4.0,6.0,6.0,7.0,25.0,20.0,25.0,25.0,5.0,0.0,9.0,10.0,10.0,9.0,10.0,7.0,6.0,8.0,7.0,7.0,6.0,7.0,10.0,10.0,9.0,8.0,7.0,6.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,0.29,8.0,7.0,7.0,0.0,0,1,0
3993,11.0,0,25.0,26.0,1.0,1,10.0,10.0,24.0,16.0,28.0,14.0,8.0,10.0,7.0,6.0,5.0,6.0,8.0,25.0,20.0,25.0,25.0,5.0,0.0,9.0,10.0,10.0,9.0,10.0,6.0,8.0,9.0,7.0,8.0,6.0,7.0,10.0,10.0,9.0,8.0,7.0,6.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,0.43,8.0,6.0,7.0,0.0,0,0,0
3995,11.0,0,25.0,32.0,7.0,1,10.0,10.0,25.0,15.0,20.0,25.0,10.0,5.0,7.0,7.0,7.0,4.0,5.0,25.0,20.0,25.0,25.0,5.0,0.0,9.0,10.0,10.0,9.0,10.0,5.0,4.0,10.0,6.0,10.0,6.0,7.0,10.0,10.0,9.0,8.0,7.0,6.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,0.26,8.0,7.0,7.0,0.0,0,0,0
3996,11.0,0,25.0,25.0,0.0,1,10.0,10.0,27.0,15.0,28.0,10.0,10.0,10.0,7.0,9.0,5.0,7.0,6.0,25.0,20.0,25.0,25.0,5.0,0.0,9.0,10.0,10.0,9.0,10.0,8.0,9.0,8.0,8.0,7.0,6.0,7.0,10.0,10.0,9.0,8.0,7.0,6.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,0.02,8.0,8.0,8.0,0.0,1,0,0
3997,11.0,0,25.0,25.0,0.0,1,10.0,10.0,25.0,20.0,30.0,15.0,5.0,5.0,6.0,6.0,6.0,6.0,7.0,25.0,20.0,25.0,25.0,5.0,0.0,9.0,10.0,10.0,9.0,10.0,2.0,4.0,8.0,1.0,6.0,6.0,7.0,10.0,10.0,9.0,8.0,7.0,6.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,0.22,8.0,3.0,8.0,0.0,0,0,0
3998,11.0,0,25.0,27.0,2.0,1,10.0,10.0,20.0,20.0,20.0,15.0,5.0,20.0,9.0,6.0,3.0,6.0,5.0,25.0,20.0,25.0,25.0,5.0,0.0,9.0,10.0,10.0,9.0,10.0,7.0,6.0,9.0,7.0,9.0,6.0,7.0,10.0,10.0,9.0,8.0,7.0,6.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,0.15,8.0,6.0,9.0,0.0,0,1,0
3999,11.0,0,25.0,23.0,2.0,0,10.0,10.0,25.0,15.0,20.0,20.0,10.0,10.0,9.0,9.0,8.0,8.0,7.0,25.0,20.0,25.0,25.0,5.0,0.0,9.0,10.0,10.0,9.0,10.0,6.0,7.0,9.0,8.0,8.0,6.0,7.0,10.0,10.0,9.0,8.0,7.0,6.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,-0.07,8.0,6.0,7.0,0.0,0,1,0
4000,11.0,0,25.0,27.0,2.0,0,10.0,10.0,50.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,25.0,20.0,25.0,25.0,5.0,0.0,9.0,10.0,10.0,9.0,10.0,5.0,7.0,7.0,6.0,7.0,6.0,7.0,10.0,10.0,9.0,8.0,7.0,6.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,-0.37,8.0,6.0,8.0,0.0,0,1,0
4002,11.0,0,25.0,24.0,1.0,0,10.0,10.0,20.0,20.0,25.0,25.0,5.0,5.0,8.0,8.0,8.0,8.0,8.0,25.0,20.0,25.0,25.0,5.0,0.0,9.0,10.0,10.0,9.0,10.0,4.0,4.0,7.0,4.0,7.0,6.0,7.0,10.0,10.0,9.0,8.0,7.0,6.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,-0.05,8.0,4.0,8.0,0.0,0,1,0
4003,11.0,0,25.0,22.0,3.0,1,10.0,10.0,10.0,15.0,25.0,15.0,15.0,20.0,9.0,8.0,9.0,8.0,9.0,25.0,20.0,25.0,25.0,5.0,0.0,9.0,10.0,10.0,9.0,10.0,3.0,2.0,8.0,7.0,6.0,6.0,7.0,10.0,10.0,9.0,8.0,7.0,6.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,-0.32,8.0,4.0,5.0,0.0,0,1,0
4004,11.0,0,25.0,22.0,3.0,0,10.0,10.0,35.0,40.0,5.0,5.0,7.0,8.0,10.0,7.0,9.0,8.0,7.0,25.0,20.0,25.0,25.0,5.0,0.0,9.0,10.0,10.0,9.0,10.0,2.0,2.0,6.0,5.0,4.0,6.0,7.0,10.0,10.0,9.0,8.0,7.0,6.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,0.42,8.0,3.0,4.0,0.0,0,1,0
4005,11.0,0,25.0,27.0,2.0,1,10.0,10.0,20.0,20.0,15.0,25.0,10.0,10.0,7.0,4.0,4.0,4.0,4.0,25.0,20.0,25.0,25.0,5.0,0.0,9.0,10.0,10.0,9.0,10.0,5.0,5.0,8.0,7.0,10.0,6.0,7.0,10.0,10.0,9.0,8.0,7.0,6.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,-0.07,8.0,6.0,6.0,0.0,0,0,0
4006,11.0,0,25.0,28.0,3.0,0,10.0,10.0,20.0,30.0,10.0,20.0,0.0,20.0,6.0,4.0,4.0,6.0,3.0,25.0,20.0,25.0,25.0,5.0,0.0,9.0,10.0,10.0,9.0,10.0,6.0,6.0,7.0,6.0,5.0,6.0,7.0,10.0,10.0,9.0,8.0,7.0,6.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,-0.3,8.0,6.0,7.0,0.0,0,0,0
4007,11.0,0,25.0,34.0,9.0,1,10.0,10.0,30.0,10.0,30.0,10.0,5.0,15.0,8.0,6.0,6.0,6.0,5.0,25.0,20.0,25.0,25.0,5.0,0.0,9.0,10.0,10.0,9.0,10.0,7.0,6.0,9.0,7.0,8.0,6.0,7.0,10.0,10.0,9.0,8.0,7.0,6.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,0.46,8.0,7.0,7.0,0.0,1,0,0
4008,11.0,0,25.0,27.0,2.0,0,10.0,10.0,20.0,20.0,15.0,15.0,12.0,18.0,7.0,8.0,7.0,6.0,7.0,25.0,20.0,25.0,25.0,5.0,0.0,9.0,10.0,10.0,9.0,10.0,5.0,6.0,10.0,6.0,10.0,6.0,7.0,10.0,10.0,9.0,8.0,7.0,6.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,-0.04,8.0,8.0,8.0,0.0,0,1,0
4009,11.0,0,25.0,28.0,3.0,0,10.0,10.0,20.0,18.0,20.0,17.0,10.0,15.0,6.0,10.0,6.0,9.0,7.0,25.0,20.0,25.0,25.0,5.0,0.0,9.0,10.0,10.0,9.0,10.0,6.0,8.0,8.0,7.0,8.0,6.0,7.0,10.0,10.0,9.0,8.0,7.0,6.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,-0.12,8.0,6.0,7.0,0.0,0,1,0
4010,11.0,0,25.0,28.0,3.0,0,10.0,10.0,23.0,18.0,21.0,18.0,10.0,10.0,7.0,8.0,6.0,7.0,5.0,25.0,20.0,25.0,25.0,5.0,0.0,9.0,10.0,10.0,9.0,10.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,10.0,10.0,9.0,8.0,7.0,6.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,0.47,8.0,6.0,8.0,0.0,0,1,0
4011,11.0,1,29.0,28.0,1.0,0,8.0,4.0,0.0,25.0,25.0,25.0,25.0,0.0,6.0,6.0,7.0,6.0,5.0,30.0,25.0,18.0,18.0,4.0,5.0,7.0,10.0,5.0,7.0,7.0,4.0,8.0,8.0,7.0,6.0,6.0,1.0,5.0,7.0,7.0,4.0,8.0,1.0,3.0,2.0,5.0,7.0,8.0,8.0,8.0,3.0,2.0,0.37,5.0,6.0,2.0,0.0,0,1,0
4012,11.0,1,29.0,33.0,4.0,0,8.0,4.0,25.0,30.0,10.0,10.0,5.0,20.0,5.0,6.0,7.0,6.0,7.0,30.0,25.0,18.0,18.0,4.0,5.0,7.0,10.0,5.0,7.0,7.0,1.0,7.0,8.0,5.0,7.0,6.0,1.0,5.0,7.0,7.0,4.0,8.0,1.0,3.0,2.0,5.0,7.0,8.0,8.0,8.0,3.0,2.0,0.43,5.0,3.0,2.0,0.0,0,0,0
4013,11.0,1,29.0,22.0,7.0,1,8.0,4.0,25.0,7.0,25.0,25.0,8.0,10.0,6.0,6.0,6.0,2.0,5.0,30.0,25.0,18.0,18.0,4.0,5.0,7.0,10.0,5.0,7.0,7.0,8.0,8.0,9.0,7.0,8.0,6.0,1.0,5.0,7.0,7.0,4.0,8.0,1.0,3.0,2.0,5.0,7.0,8.0,8.0,8.0,3.0,2.0,0.62,5.0,8.0,3.0,0.0,1,0,0
4014,11.0,1,29.0,26.0,3.0,0,8.0,4.0,16.67,16.67,16.67,16.67,16.67,16.67,6.0,7.0,6.0,6.0,6.0,30.0,25.0,18.0,18.0,4.0,5.0,7.0,10.0,5.0,7.0,7.0,6.0,5.0,5.0,8.0,4.0,6.0,1.0,5.0,7.0,7.0,4.0,8.0,1.0,3.0,2.0,5.0,7.0,8.0,8.0,8.0,3.0,2.0,0.19,5.0,5.0,1.0,0.0,0,0,0
4015,11.0,1,29.0,24.0,5.0,0,8.0,4.0,15.0,25.0,20.0,20.0,10.0,10.0,7.0,7.0,6.0,5.0,5.0,30.0,25.0,18.0,18.0,4.0,5.0,7.0,10.0,5.0,7.0,7.0,7.0,6.0,8.0,5.0,5.0,6.0,1.0,5.0,7.0,7.0,4.0,8.0,1.0,3.0,2.0,5.0,7.0,8.0,8.0,8.0,3.0,2.0,0.55,5.0,7.0,1.0,0.0,0,0,0
4016,11.0,1,29.0,24.0,5.0,1,8.0,4.0,22.0,14.0,30.0,10.0,14.0,10.0,5.0,7.0,8.0,6.0,8.0,30.0,25.0,18.0,18.0,4.0,5.0,7.0,10.0,5.0,7.0,7.0,7.0,6.0,7.0,5.0,8.0,6.0,1.0,5.0,7.0,7.0,4.0,8.0,1.0,3.0,2.0,5.0,7.0,8.0,8.0,8.0,3.0,2.0,0.64,5.0,6.0,1.0,0.0,0,0,0
4017,11.0,1,29.0,25.0,4.0,0,8.0,4.0,7.0,35.0,20.0,20.0,5.0,13.0,5.0,3.0,9.0,4.0,4.0,30.0,25.0,18.0,18.0,4.0,5.0,7.0,10.0,5.0,7.0,7.0,8.0,7.0,8.0,8.0,8.0,6.0,1.0,5.0,7.0,7.0,4.0,8.0,1.0,3.0,2.0,5.0,7.0,8.0,8.0,8.0,3.0,2.0,0.18,5.0,7.0,2.0,0.0,0,0,0
4018,11.0,1,29.0,25.0,4.0,1,8.0,4.0,15.0,18.0,19.0,19.0,17.0,12.0,7.0,8.0,9.0,6.0,7.0,30.0,25.0,18.0,18.0,4.0,5.0,7.0,10.0,5.0,7.0,7.0,4.0,5.0,8.0,6.0,8.0,6.0,1.0,5.0,7.0,7.0,4.0,8.0,1.0,3.0,2.0,5.0,7.0,8.0,8.0,8.0,3.0,2.0,0.39,5.0,4.0,1.0,0.0,0,1,0
4019,11.0,1,29.0,27.0,2.0,0,8.0,4.0,19.0,20.0,19.0,14.0,13.0,15.0,5.0,7.0,8.0,5.0,8.0,30.0,25.0,18.0,18.0,4.0,5.0,7.0,10.0,5.0,7.0,7.0,2.0,8.0,8.0,7.0,8.0,6.0,1.0,5.0,7.0,7.0,4.0,8.0,1.0,3.0,2.0,5.0,7.0,8.0,8.0,8.0,3.0,2.0,0.53,5.0,7.0,1.0,0.0,0,0,0
4020,11.0,1,29.0,26.0,3.0,0,8.0,4.0,15.0,20.0,20.0,20.0,15.0,10.0,6.0,8.0,8.0,6.0,5.0,30.0,25.0,18.0,18.0,4.0,5.0,7.0,10.0,5.0,7.0,7.0,2.0,7.0,7.0,5.0,5.0,6.0,1.0,5.0,7.0,7.0,4.0,8.0,1.0,3.0,2.0,5.0,7.0,8.0,8.0,8.0,3.0,2.0,0.34,5.0,4.0,1.0,0.0,0,0,0
4021,11.0,1,29.0,29.0,0.0,1,8.0,4.0,10.0,40.0,20.0,20.0,0.0,10.0,9.0,9.0,9.0,9.0,8.0,30.0,25.0,18.0,18.0,4.0,5.0,7.0,10.0,5.0,7.0,7.0,2.0,8.0,9.0,9.0,8.0,6.0,1.0,5.0,7.0,7.0,4.0,8.0,1.0,3.0,2.0,5.0,7.0,8.0,8.0,8.0,3.0,2.0,0.19,5.0,8.0,4.0,1.0,0,1,0
4022,11.0,1,29.0,26.0,3.0,0,8.0,4.0,20.0,20.0,20.0,10.0,20.0,10.0,8.0,10.0,10.0,9.0,10.0,30.0,25.0,18.0,18.0,4.0,5.0,7.0,10.0,5.0,7.0,7.0,2.0,8.0,8.0,9.0,7.0,6.0,1.0,5.0,7.0,7.0,4.0,8.0,1.0,3.0,2.0,5.0,7.0,8.0,8.0,8.0,3.0,2.0,0.39,5.0,8.0,5.0,0.0,0,1,0
4023,11.0,1,29.0,26.0,3.0,1,8.0,4.0,15.0,15.0,25.0,20.0,5.0,20.0,3.0,6.0,6.0,5.0,6.0,30.0,25.0,18.0,18.0,4.0,5.0,7.0,10.0,5.0,7.0,7.0,5.0,6.0,5.0,5.0,7.0,6.0,1.0,5.0,7.0,7.0,4.0,8.0,1.0,3.0,2.0,5.0,7.0,8.0,8.0,8.0,3.0,2.0,0.32,5.0,4.0,1.0,0.0,0,0,0
4024,11.0,1,29.0,32.0,3.0,1,8.0,4.0,15.0,5.0,45.0,10.0,15.0,10.0,6.0,6.0,6.0,4.0,4.0,30.0,25.0,18.0,18.0,4.0,5.0,7.0,10.0,5.0,7.0,7.0,5.0,7.0,9.0,4.0,8.0,6.0,1.0,5.0,7.0,7.0,4.0,8.0,1.0,3.0,2.0,5.0,7.0,8.0,8.0,8.0,3.0,2.0,0.23,5.0,7.0,4.0,0.0,0,1,0
4025,11.0,1,29.0,28.0,1.0,1,8.0,4.0,25.0,20.0,20.0,25.0,0.0,10.0,5.0,8.0,9.0,4.0,8.0,30.0,25.0,18.0,18.0,4.0,5.0,7.0,10.0,5.0,7.0,7.0,8.0,8.0,9.0,7.0,7.0,6.0,1.0,5.0,7.0,7.0,4.0,8.0,1.0,3.0,2.0,5.0,7.0,8.0,8.0,8.0,3.0,2.0,0.55,5.0,8.0,6.0,0.0,1,0,0
4026,11.0,1,29.0,26.0,3.0,0,8.0,4.0,20.0,30.0,10.0,15.0,10.0,15.0,4.0,5.0,6.0,5.0,5.0,30.0,25.0,18.0,18.0,4.0,5.0,7.0,10.0,5.0,7.0,7.0,9.0,7.0,5.0,6.0,5.0,6.0,1.0,5.0,7.0,7.0,4.0,8.0,1.0,3.0,2.0,5.0,7.0,8.0,8.0,8.0,3.0,2.0,-0.08,5.0,6.0,5.0,0.0,0,0,0
4028,11.0,1,29.0,24.0,5.0,1,8.0,4.0,20.0,10.0,30.0,15.0,15.0,10.0,6.0,8.0,8.0,6.0,9.0,30.0,25.0,18.0,18.0,4.0,5.0,7.0,10.0,5.0,7.0,7.0,9.0,9.0,8.0,5.0,6.0,6.0,1.0,5.0,7.0,7.0,4.0,8.0,1.0,3.0,2.0,5.0,7.0,8.0,8.0,8.0,3.0,2.0,0.43,5.0,9.0,6.0,0.0,1,0,0
